num,code,name,typecode,type
1,060310,3S,32902,특수 목적용 기계 제조업
2,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업
3,068400,AJ렌터카,147601,운송장비 임대업
4,006840,AK홀딩스,116409,기타 금융업
5,054620,APS홀딩스,116409,기타 금융업
6,265520,AP시스템,32902,특수 목적용 기계 제조업
7,211270,AP위성,32604,통신 및 방송 장비 제조업
8,027410,BGF,116409,기타 금융업
9,282330,BGF리테일,74701,종합 소매업
10,138930,BNK금융지주,116409,기타 금융업
11,001460,BYC,31401,봉제의복 제조업
12,001040,CJ,116409,기타 금융업
13,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
13,079160,CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"∂
14,035760,CJENM,106002,텔레비전 방송업
14,035760,ENM,106002,텔레비전 방송업
15,000120,CJ대한통운,84903,도로 화물 운송업
15,000120,대한통운,84903,도로 화물 운송업
16,011150,CJ씨푸드,31007,기타 식품 제조업
17,097950,제일제당,31007,기타 식품 제조업
18,051500,CJ프레시웨이,74603,음·식료품 및 담배 도매업
18,051500,프레시웨이,74603,음·식료품 및 담배 도매업
19,037560,CJ헬로,106002,텔레비전 방송업
20,058820,CMG제약,32102,의약품 제조업
21,023460,CNH,116402,신탁업 및 집합투자업
23,083660,CSA 코스믹,32202,플라스틱제품 제조업
24,000590,CS홀딩스,116409,기타 금융업
25,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
26,306620,DB금융스팩6호,116601,금융 지원 서비스업
27,016610,DB금융투자,116601,금융 지원 서비스업
28,005830,DB손해보험,116501,보험업
29,000990,DB하이텍,32601,반도체 제조업
30,139130,DGB금융지주,116409,기타 금융업
31,068790,DMS,32902,특수 목적용 기계 제조업
32,004840,DRB동일,116409,기타 금융업
33,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업
34,155660,DSR,32402,1차 비철금속 제조업
35,069730,DSR제강,32401,1차 철강 제조업
36,017940,E1,74607,기타 전문 도매업
37,245620,EDGC,137001,자연과학 및 공학 연구개발업
38,037370,EG,74607,기타 전문 도매업
39,079190,EMW,32604,통신 및 방송 장비 제조업
40,007700,F&F,31401,봉제의복 제조업
41,130500,GH신소재,31309,기타 섬유제품 제조업
42,114090,GKL,189102,유원지 및 기타 오락관련 서비스업
