keyword,company,score

오락업종,큐브엔터,1
문화업종,큐브엔터,1
이낙연,남화토건,1
이낙연,이월드,1
디스플레이,삼성물산,1
디스플레이,삼성SDI,1
디스플레이,LG디스플레이,1
디스플레이,에스에프에이,1
디스플레이,솔브레인,1
디스플레이,원익홀딩스,1
디스플레이,덕산하이메탈,1
디스플레이,일진디스플,1
디스플레이,미래나노텍,1
정유,SK이노베이션,1
정유,S-Oil,1
정유,GS,1
정유,SK가스,1
가스,SK이노베이션,1
가스,S-Oil,1
가스,GS,1
가스,SK가스,1
화학,LG화학,1
화학,롯데케미칼,1
화학,한화케미칼,1
화학,금호석유,1
화학,태광산업,1
화학,SKC,1
화학,코오롱인더,1
화학,롯데정밀화학,1
화학,대한유화,1
화학,한솔케미칼,1
화학,휴켐스,1
화학,후성,1
화학,남해화학,1
화학,SK디스커버리,1
화학,휴비스,1
화학,카프로*,1
화학,이수화학,1
금속,POSCO,1
금속,고려아연,1
금속,현대제철,1
금속,포스코케미칼,1
금속,영풍,1
금속,풍산,1
금속,동국제강,1
금속,세아베스틸,1
금속,포스코엠텍*,1
금속,세아제강지주,1
철강,POSCO,1
철강,고려아연,1
철강,현대제철,1
철강,포스코케미칼,1
철강,영풍,1
철강,풍산,1
철강,동국제강,1
철강,세아베스틸,1
철강,포스코엠텍*,1
철강,세아제강지주,1
조선,현대중공업,1
조선,삼성중공업,1
조선,대우조선해양,1
조선,현대미포조선,1
조선,STX엔진,1
조선,HSD엔진,1
조선,한진중공업,1
운송,현대글로비스,1
운송,CJ대한통운,1
운송,대한항공,1
운송,한진칼,1
운송,현대상선,1
운송,아시아나항공,1
운송,서부T&D*,1
은행,신한지주,1
은행,KB금융,1
은행,하나금융지주,1
은행,기업은행,1
은행,삼성카드,1
은행,BNK금융지주,1
은행,DGB금융지주,1
은행,JB금융지주,1
카드,신한지주,1
카드,KB금융,1
카드,하나금융지주,1
카드,기업은행,1
카드,삼성카드,1
카드,BNK금융지주,1
카드,DGB금융지주,1
카드,JB금융지주,1
증권,미래에셋대우,1
증권,NH투자증권,1
증권,한국금융지주,1
증권,삼성증권,1
증권,키움증권,1
증권,유안타증권,1
증권,대신증권,1
게임,엔씨소프트,1
게임,NHN엔터테인먼트,1
게임,컴투스,1
게임,위메이드,1
게임,게임빌,1
게임,네오위즈,1
게임,액토즈소프트,1
유통,롯데쇼핑,1
유통,이마트,1
유통,CJ ENM,1
유통,호텔신라,1
유통,신세계,1
유통,GS리테일,1
유통,현대백화점,1
유통,현대홈쇼핑,1
유통,롯데하이마트*,1
유통,GS홈쇼핑,1
유통,광주신세계*,1
유통,인터파크홀딩스,1
담배,KT&G,1
음식료,롯데지주,1
음식료,CJ제일제당,1
음식료,오뚜기,1
음식료,농심,1
음식료,현대그린푸드,1
음식료,롯데칠성,1
음식료,하이트진로,1
음식료,오리온홀딩스,1
음식료,대상,1
음식료,동원산업,1
음식료,롯데푸드*,1
음식료,빙그레,1
음식료,CJ프레시웨이,1
음식료,무학,1
음식료,신세계푸드,1
음식료,하이트진로홀딩스,1
음식료,매일홀딩스,1
주류,하이트진로,1
